technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar,marginal_cost,capital_cost
Alkaline electrolyzer large size,,,,0.0,,4.6,,,0.2389,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.38,,0.0,,,,,,429030.6,40.0,,,,,,,,,,,,,,,,,0.2389,51916.62345642835
Alkaline electrolyzer medium size,,,,0.0,,18.1,,,0.2389,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.416,,0.0,,,,,,566088.4,20.0,,,,,,,,,,,,,,,,,0.2389,155896.74070531843
Alkaline electrolyzer small size,,,,0.0,,18.1,,,0.6426,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.41,,0.0,,,,,,984882.2999999999,20.0,,,,,,,,,,,,,,,,,0.6426,271229.61810974684
Ammonia cracker,,,,0.0,,4.3,,,0.0,1.46,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1123945.3807,25.0,,,,,,,,,,,,,,,,,0.0,144775.98581574493
BEV Bus city,,,,0.0,,0.0002,320.6897,,0.0952,,,,,,,,,,,,,,0.07,,,,0.9204,,,,,,,,,0.0,,,,,,326312.2797,12.0,,,,,,,,,,,,,,,,,0.0952,41084.017561342655
BEV Coach,,,,0.0,,0.0001,298.2759,,0.0952,,,,,,,,,,,,,,0.07,,,,0.9094,,,,,,,,,0.0,,,,,,406852.0832,12.0,,,,,,,,,,,,,,,,,0.0952,51223.893215401025
BEV Truck Semi-Trailer max 50 tons,,,,0.0,,0.0002,468.9655,,0.0952,,,,,,,,,,,,,,0.07,,,,1.4729,,,,,,,,,0.0,,,,,,247867.9385,10.5,,,,,,,,,,,,,,,,,0.0952,34117.904121992266
BEV Truck Solo max 26 tons,,,,0.0,,0.0002,353.4483,,0.0952,,,,,,,,,,,,,,0.07,,,,0.9226,,,,,,,,,0.0,,,,,,313643.3844,13.8,,,,,,,,,,,,,,,,,0.0952,36176.379294391656
BEV Truck Trailer max 56 tons,,,,0.0,,0.0002,587.931,,0.0952,,,,,,,,,,,,,,0.07,,,,1.6303,,,,,,,,,0.0,,,,,,274929.1357,13.8,,,,,,,,,,,,,,,,,0.0952,31710.985108737634
Battery electric (passenger cars),,,,0.0,,0.9,,,0.0,,,,,,,,,,,,,,0.07,,,,0.68,,,,,,,,,0.0,,,,,,28812.0,15.0,,,,,,,,,,,,,,,,,0.0,3422.710726885399
Battery electric (trucks),,,,0.0,,14.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,165765.0,15.0,,,,,,,,,,,,,,,,,0.0,41407.205963562345
BioSNG,,0.3321,0.6679,0.0,0.2449,1.6195,,,2.3395,,,,,0.9,,,,,,,,,0.07,,,,0.615,,,,,,,,,0.0,,,,,,2179970.0,25.0,,,,,,,,,,,,,,,,,2.3395,222368.96737553438
BtL,,0.2571,0.7429,0.0,0.2724,2.5263,,,1.1299,,,,,0.9,,,,,,,,,0.07,,,,0.3667,,,,,,,,,0.0,,,,,,3378302.7,25.0,,,,,,,,,,,,,,,,,1.1299,375239.96312507114
CCGT,,,,0.198,,3.3392,,,4.5504,,1.9,0.15,,,,,,,,,,,0.07,,,,0.57,,,,,,,,,24.568,,,,,,904779.5,25.0,,,,,,,,,,,,,,,,,47.65215438596492,107851.99392965522
CH4 (g) fill compressor station,,,,0.0,,1.7,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1654.96,20.0,,,,,,,,,,,,,,,,,0.0,184.3508363880584
CH4 (g) pipeline,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.01,,0.0,,,,,,87.22,50.0,,,,,,,,,,,,,,,,,0.0,7.628248076844581
CH4 (g) submarine pipeline,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.01,,0.0,,,,,,119.3173,30.0,,,,,,,,,,,,,,,,,0.0,13.194871083656306
CH4 (l) transport ship,,,,0.0,,3.5,,,0.0,,,,58300.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,159791465.6831,25.0,,,,,,,,,,,,,,,,,0.0,19304489.616623547
CH4 evaporation,,,,0.0,,3.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,91110.1,30.0,,,,,,,,,,,,,,,,,0.0,10531.088782537692
CH4 liquefaction,,,,0.0,,3.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.036,,0.0,,,,,,241443.0,25.0,,1.0,,,,,,,,,,,,,,,0.0,29168.853709309165
CO2 liquefaction,,,,0.0,,5.0,,,0.0,,,,,,,1.0,,,,,,,0.07,,,,1.0,,,,,,,0.123,,0.0,,,0.0067,,,16.7226,25.0,,,,,,,,,,,,,,,,,0.0,2.271104955274303
CO2 pipeline,,,,0.0,,0.9,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2116.4433,50.0,,,,,,,,,,,,,,,,,0.0,172.40515277711071
